f(x),average,SD(Standard Devation),Range,Median,Time(ms)
Schwefel,5669.150409,-1.17E+07,1855.6152458197298~ 5431.574999993358,3239.333464,109499
De Jong 1,841717.569,-1.51E+11,44536.195864613524~ 969101.9011525272,524920.0565,13593
Rosenbrock's Saddle,4.68E+11,-4.84E+22,3.2241986848882282E10~ 5.2735462774451385E11,2.80E+11,20767
Rastrigin,9.15E+13,-3.35E+27,5.490999661401993E13~ 5.4910004934798836E13,5.49E+13,55882
Griewangk,9.15E+11,-3.35E+23,5.4910004993523755E11~ 5.49100056500096E11,5.49E+11,58525
Sine Envelope Sine Wave,9.15E+11,-3.35E+23,5.491000493355499E11~ 5.491000493429925E11,5.49E+11,59280
Stretch V Sine Wave,9.15E+11,-3.35E+23,5.49100049356851E11~ 5.4910004983748035E11,5.49E+11,120448
Ackley One,9.15E+11,-3.35E+23,5.491000507325961E11~ 5.49100056038494E11,5.49E+11,122714
Ackley Two,9.15E+11,-3.35E+23,5.4910005622231195E11~ 5.491000614653481E11,5.49E+11,159339
Egg Holder,9.15E+11,-3.35E+23,5.4910005429071045E11~ 5.4910006140685474E11,5.49E+11,98926
Rana,9.15E+11,-3.35E+23,5.4910005041952716E11~ 5.491000561989499E11,5.49E+11,195209
Pathological,8.79E+11,-3.09E+23,5.273546277490087E11~ 5.27354627867986E11,5.27E+11,80802
Michalewicz,9.15E+11,-3.35E+23,5.491000498085162E11~ 5.4910004983574023E11,5.49E+11,146501
Master's Cosine Wave,9.15E+11,-3.35E+23,5.4910004934083356E11~ 5.491000493515495E11,5.49E+11,163115
Quartic,8.98E+11,-3.22E+23,1855.6152458197298~ 5.490989681780155E11,5.38E+11,36625
Levy,9.15E+11,-3.35E+23,1855.6152458197298~ 5.4910044293929095E11,5.49E+11,102702
Step,9.15E+11,-3.35E+23,1855.6152458197298~ 5.49099953245725E11,5.49E+11,12838
Alpine,9.15E+11,-3.35E+23,1855.6152458197298~ 5.490999625832434E11,5.49E+11,54749
